0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:10 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:10 +0900] "GET /Goncha/resources/css/homepage2.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:10 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/resources/css/homepage2.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/resources/css/homepage2.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:11 +0900] "GET /Goncha/Title.jsp HTTP/1.1" 200 2808
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:12 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 6066
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:12 +0900] "GET /Goncha/resources/css/homepage2.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:12 +0900] "GET /Goncha/resources/css/homepage.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:44:12 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 6066
